# tools/identity-allowlist.txt — the occurrences of the TEMPLATE's identity that
# tools/check-contamination.rb permits, and why each one is permitted.
#
# THIS FILE IS ITSELF A GATE (D-65). It is not a list of exemptions; it is a list of
# dated measurements, and the gate fails on a broken row exactly as it fails on an
# unallowed file:
#
#   * a row whose path matches nothing         -> FAIL allowlist <path>: entry matches nothing
#   * a row whose count no longer matches      -> FAIL allowlist <path>: expected N line(s), found M
#   * a row with no ISO date, or a bad count   -> FAIL allowlist <path>: undated or malformed row
#   * a second row for the same path           -> FAIL allowlist <path>: duplicate row
#   * a `*` count anywhere but CHANGELOG.md    -> FAIL allowlist <path>: path-level row not permitted
#
# GRAMMAR — four TAB-separated cells, no globs, exact tracked paths:
#
#   path<TAB>count<TAB>YYYY-MM-DD<TAB>reason
#
# A row is a DATED MEASUREMENT TRIPLE (path + count + date) plus a reason, the shape
# docs/APPLE-ACCOUNT-STATE.md:41-46 defines for every fact in this project: "a value,
# its measurement date, and the thing it was measured against are one unit; recording
# two of the three records nothing". The count is what makes the row a measurement
# rather than an exemption — it is why a real regression on the line below a legitimate
# guard literal is caught, and it is why D-65 rejected a path-level-only allowlist.
#
# WHEN A COUNT DRIFTS, THAT IS A SIGNAL, NOT AN ANNOYANCE. Do not bump the number to
# make CI green. Look at what was added. If the new occurrence belongs, bump the count
# AND edit the reason AND set today's date, in one commit whose message says which line
# appeared and why. If it does not belong, delete it from the source file.
#
# THE ONE `*` ROW. CHANGELOG.md carries a path-level row because it gains mentions every
# phase and a per-occurrence list there would need editing forever and would rot. The
# gate refuses `*` for any other path (PATH_LEVEL_ALLOWED is a frozen constant), and the
# `*` row still fails if CHANGELOG.md ever stops matching at all.
#
# NOTHING UNDER app/ MAY EVER APPEAR HERE. 04-05 removed all six occurrences that shipped
# in the binary (C-20 class 5); test/contamination_test.rb asserts no row's path starts
# with `app/`, so the removal cannot be quietly undone by adding a row.
#
# C-20 CLASS 4 — CONFIGURATION THAT SOMETHING ACTUALLY READS — IS NEVER PERMITTED HERE.
# It is fixed at the source instead. Three occurrences were fixed rather than listed while
# this file was being written: ci/bump-asc-version.rb refusing to fall back to a placeholder
# bundle id, .github/workflows/review-notes.yml comment, and tools/identity-parity.rb stale
# usage example. test/contamination_test.rb rejects any reason naming that class, so the rule
# is enforced rather than remembered — and the phrase the test greps for lives in the test,
# not here, so that a whole-file grep of this allowlist finds no instance of it.
#
# REASON VOCABULARY — every reason opens with one of 04-CONTEXT C-20's five classes,
# or `self:`:
#
#   historical record:                    a record of the past that would be falsified by an edit
#   guard:                                the literal IS the predicate of a check
#   fixture:                              test input that must contain what the test is about
#   template doc:                         prose describing the template a forker starts from
#   not-synced template file (Phase 5):   template-owned, IDENT-10 / D-59 own the cleanup
#   self:                                 the gate and its own contract test
#
# Counts below were measured on 2026-09-02 against 081d2b8, with
# the same predicate the gate uses: a line is a hit when its downcased text contains either
# template stem, so both template identities are covered (D-65, RESEARCH Pitfall 7).
# The two stems are spelled out in the gate's own header and in its frozen LITERALS
# constant, and DELIBERATELY NOT HERE, so that editing this file's prose can never change
# this file's own hit count and force a self-referential row.
# Re-measure with: ruby tools/check-contamination.rb
#
# path<TAB>count<TAB>date<TAB>reason
CHANGELOG.md	*	2026-09-02	historical record: accumulates mentions every phase (33 when C-20 measured it, 35 today); D-65 gives this file the project's ONE path-level row so no future phase has to edit this list
docs/UPSTREAM-LEDGER.md	6	2026-09-02	historical record: rows quote the literals of the learnings they record — UL-004 and UL-034 are about the template's own app-directory name; rewriting one would falsify the ledger
docs/APPLE-ACCOUNT-STATE.md	3	2026-09-02	historical record: the Against column of measurement triples taken before the rename; a triple whose measured-against value is edited afterwards records nothing
test/gh_secrets_test.rb	1	2026-09-02	historical record: :26 names the value the now-deleted BUNDLE_ID repository variable held (C-16), which is what makes D-56's deletion checkable rather than remembered
bin/adopt.rb	2	2026-09-02	guard: :66-68 refuses to adopt an existing App Store app while BUNDLE_ID is still the template placeholder, so the literal is the predicate
fastlane/Fastfile	2	2026-09-02	guard: adopt_existing_app aborts when app_identifier is still the template bundle id (04-04, :1502-1505); deleting the literal deletes the guard
test/identity_test.rb	6	2026-09-02	guard: criterion 1's literal sweep must spell the literal it forbids — see that file's own self-exclusion note at :46-54
test/doctor_identity_test.rb	10	2026-09-02	guard: D-64's tier-2 assertions pin the exact message the doctor must print for each template identity, so the expected strings ARE the literals (:220-222 bundle id, :229-231 the case-insensitive template-product-name case, :315-334 the tier-3 stale-project dumps)
bin/lib/bootstrap.rb	8	2026-09-03	guard: PLACEHOLDER_PATTERN at :1290 and the bundle-id test at :1341 reject the template identity; IdentityAdopted::TEMPLATE_VALUES at :756 and its five lines of comment at :751-753,:883,:1025 are D-64's tier-2 predicate, which must spell every identity this template has ever shipped. Count re-measured 2026-09-03 when plan 05-07 flipped the source of truth to app/Identity.xcconfig: the rename step's display name and the initial-commit message were the only two lines carrying the template name for a non-guard reason, and both went with the step, so the count fell 10 -> 8. Measured with the gate's own predicate, not predicted.
test/rename_scope_test.rb	4	2026-09-03	guard: IDENT-10 criterion 2 scope assertion — the four literals the retired substitution steps used to write ARE the predicate, so a file that could not spell them would forbid nothing; see that file's own self-exclusion note in its header, which is why it is not in any list it asserts over. Count measured with the gate's own predicate after staging, not predicted.
ci/test-rename.sh	30	2026-09-02	fixture: a rename test must contain the name it renames away from, or it tests nothing (Phase 5, IDENT-10)
ci/test-rename-gates.sh	14	2026-09-02	fixture: drives bin/rename.sh's refusal paths, each of which is keyed on the template identity (Phase 5, IDENT-10)
ci/test-verify-rename.sh	8	2026-09-02	fixture: embeds the pre-rename identity that bin/verify-rename.sh must report as still present (Phase 5, IDENT-10)
ci/test-switch-to-tuist.sh	3	2026-09-02	fixture: asserts the generator switch preserves identity, which requires naming the identity it starts from (Phase 5, IDENT-10)
ci/test-switch-to-xcodegen.sh	3	2026-09-02	fixture: asserts the generator switch preserves identity, which requires naming the identity it starts from (Phase 5, IDENT-10)
ci/test-migrate-identity.sh	6	2026-09-03	fixture: builds a genuinely renamed fork from two pinned pre-#281 commits, so it must name each base's own pre-rename token in the base and renamed-shape assertions that prove the fixture really was renamed; a harness that could not spell them would assert nothing (Phase 5, IDENT-14). This reason cell deliberately does not quote the tokens — the gate scans this file too, and no other row quotes them either Count re-measured 2026-09-03 when plan 05-05 extended the harness end to end: the header prose that named one base's pre-rename file by name was reworded to name the class instead, so the count fell 7 -> 6. Measured with the gate's own predicate, not predicted.
test/fastlane_identity_test.rb	7	2026-09-02	fixture: 04-04's D-58 controls assert the fallback chain is GONE from Appfile and Fastfile, which requires spelling the fallbacks that used to be there
test/asc_probe_test.rb	1	2026-09-02	fixture: :454 builds a wrong-bundle-id App Store Connect response to drive tools/asc-probe.rb's C-05 guard red
AGENTS.md	2	2026-09-02	template doc: the invariants and antipatterns tables tell a forker not to sed the template's literals, so they quote them
